arxiv_id,title,year,citations,authors,categories,url
2306.13552v2,Techno-economic analysis of renewable energy generation at the South Pole,2023,0,Susan Babinec; Ian Baring-Gould; Amy N. Bender; Nate Blair; Xiangkun Li,physics.soc-ph; hep-ex,https://arxiv.org/abs/2306.13552v2
2508.19345v2,Privacy-Preserving Distributed Control for a Networked Battery Energy Storage System,2025,0,Mihitha Maithripala; Zongli Lin,eess.SY,https://arxiv.org/abs/2508.19345v2
1704.04166v1,"Intelligent Home Energy Management System for Distributed Renewable Generators, Dispatchable Residential Loads and Distributed Energy Storage Devices",2017,13,Adetokunbo Ajao; Jingwei Luo; Zheming Liang; Qais H. Alsafasfeh; Wencong Su,math.OC,https://arxiv.org/abs/1704.04166v1
2111.02005v1,Privacy-Preserving Energy Storage Sharing with Blockchain and Secure Multi-Party Computation,2021,35,Nan Wang; Sid Chi-Kin Chau; Yue Zhou,cs.CR; math.OC,https://arxiv.org/abs/2111.02005v1
2201.06566v2,Sizing of Energy Storage System for Virtual Inertia Emulation,2022,7,Mohamed Abuagreb; Ahmed Abuhussein; Saif alZahir,eess.SY,https://arxiv.org/abs/2201.06566v2
astro-ph/0510346v1,The Dark Energy Survey,2005,4,The Dark Energy Survey Collaboration,astro-ph,https://arxiv.org/abs/astro-ph/0510346v1
1211.0310v1,Large Synoptic Survey Telescope: Dark Energy Science Collaboration,2012,0,LSST Dark Energy Science Collaboration,astro-ph.CO; hep-ex,https://arxiv.org/abs/1211.0310v1
2201.08909v1,Uncertainty-Cognizant Model Predictive Control for Energy Management of Residential Buildings with PVT and Thermal Energy Storage,2022,0,Hossein Kalantar-Neyestanaki; Madjid Soltani,eess.SY; cs.LG,https://arxiv.org/abs/2201.08909v1
1807.00673v1,Flexibility potentials of a combined use of heat storages and batteries in PV-CHP hybrid systems,2018,21,Tanja M. Kneiske; Martin Braun,eess.SY; cs.CY,https://arxiv.org/abs/1807.00673v1
2201.06407v4,Chance-Constrained Generic Energy Storage Operations under Decision-Dependent Uncertainty,2022,0,Ning Qi; Pierre Pinson; Mads R. Almassalkhi; Lin Cheng; Yingrui Zhuang,math.OC; math.PR,https://arxiv.org/abs/2201.06407v4
